name_en,name_ar,industry_code,website,linkedin_url,notes
# ========================================================================
# Saudi Arabia — major employers seed list (KSA-focused)
# Hand-curated 2026. Each row: name_en, name_ar, industry_code, website,
# linkedin_url, free-text notes. The loader (discover/manual_seed.py) is
# resilient to missing fields. New rows can be added at the bottom.
# ========================================================================
# --- Energy / Oil & Gas / Petrochemicals / Mining --------------------------
Saudi Aramco,أرامكو السعودية,oil_gas,https://www.aramco.com,https://www.linkedin.com/company/saudi-aramco/,National oil
SABIC,سابك,petrochemicals,https://www.sabic.com,https://www.linkedin.com/company/sabic/,Chemicals
Ma'aden,معادن,mining,https://www.maaden.com.sa,https://www.linkedin.com/company/maaden/,Mining
ACWA Power,أكوا باور,energy,https://www.acwapower.com,https://www.linkedin.com/company/acwapower/,Power & desalination
SIPCHEM,سبكيم,petrochemicals,https://www.sipchem.com,https://www.linkedin.com/company/sipchem/,TASI petrochem
YANSAB,ينساب,petrochemicals,https://www.yansab.com.sa,https://www.linkedin.com/company/yansab/,SABIC subsidiary
Saudi Kayan,كيان السعودية,petrochemicals,https://www.saudikayan.com,https://www.linkedin.com/company/saudi-kayan/,TASI petrochem
Petro Rabigh,بترو رابغ,petrochemicals,https://www.petrorabigh.com,https://www.linkedin.com/company/petro-rabigh/,TASI petrochem
Tasnee,التصنيع,petrochemicals,https://www.tasnee.com,https://www.linkedin.com/company/tasnee/,TASI petrochem
National Industrialization (NIC),التصنيع الوطنية,petrochemicals,https://www.nic.com.sa,,TASI petrochem holding
Sahara Petrochemical,الصحراء للبتروكيماويات,petrochemicals,https://www.saharapcc.com,https://www.linkedin.com/company/sahara-petrochemicals/,TASI petrochem
Almarai Investment Co — Petromin,بترومين,oil_gas,https://www.petromin.com,https://www.linkedin.com/company/petromin/,Lubricants
AMAK (Almasane Alkobra Mining),الفلزات الكبرى للتعدين,mining,https://www.amak.com.sa,,TASI mining
ENGIE Saudi,إنجي السعودية,energy,https://www.engie.com,https://www.linkedin.com/company/engie/,Power IPP
Air Products Qudra,إير برودكتس قدرة,energy,https://www.airproducts.com,https://www.linkedin.com/company/air-products/,Industrial gases
# --- Banking --------------------------------------------------------------
Saudi National Bank,البنك الأهلي السعودي,banking,https://www.alahli.com,https://www.linkedin.com/company/snbsa/,SNB
Al Rajhi Bank,مصرف الراجحي,banking,https://www.alrajhibank.com.sa,https://www.linkedin.com/company/al-rajhi-bank/,Bank
Riyad Bank,بنك الرياض,banking,https://www.riyadbank.com,https://www.linkedin.com/company/riyad-bank/,Bank
The Saudi Investment Bank,البنك السعودي للاستثمار,banking,https://www.saib.com.sa,https://www.linkedin.com/company/the-saudi-investment-bank/,Bank
Arab National Bank,البنك العربي الوطني,banking,https://anb.com.sa,https://www.linkedin.com/company/arab-national-bank/,Bank
Al Bilad Bank,بنك البلاد,banking,https://www.bankalbilad.com,https://www.linkedin.com/company/bank-albilad/,Bank
Banque Saudi Fransi,البنك السعودي الفرنسي,banking,https://www.alfransi.com.sa,https://www.linkedin.com/company/banque-saudi-fransi/,Bank
Alinma Bank,مصرف الإنماء,banking,https://www.alinma.com,https://www.linkedin.com/company/alinma-bank/,Bank
Saudi Awwal Bank (SAB),البنك السعودي الأول,banking,https://www.sab.com,https://www.linkedin.com/company/saudibritishbank/,SAB
Bank Aljazira,بنك الجزيرة,banking,https://www.baj.com.sa,https://www.linkedin.com/company/bank-aljazira/,Bank
Gulf International Bank Saudi Arabia,بنك الخليج الدولي,banking,https://www.gib.com,https://www.linkedin.com/company/gulf-international-bank/,Bank
# --- Insurance / Takaful --------------------------------------------------
Bupa Arabia,بوبا العربية,insurance,https://www.bupa.com.sa,https://www.linkedin.com/company/bupaarabia/,Health insurance
Tawuniya,التعاونية,insurance,https://www.tawuniya.com,https://www.linkedin.com/company/tawuniya/,Insurance
Walaa Cooperative Insurance,ولاء للتأمين التعاوني,insurance,https://www.walaa.com,https://www.linkedin.com/company/walaa-insurance/,Insurance
Al Rajhi Takaful,تكافل الراجحي,insurance,https://www.alrajhitakaful.com,https://www.linkedin.com/company/al-rajhi-takaful/,Takaful
Saudi Reinsurance Co (Saudi Re),الإعادة السعودية,insurance,https://www.saudire.com.sa,https://www.linkedin.com/company/saudi-reinsurance-company/,Reinsurance
AICC,التعاونية للتأمين,insurance,https://www.aicc.com.sa,,Insurance
Solidarity Saudi Takaful,سوليدارتي للتكافل,insurance,https://www.solidaritysaudi.com,,Takaful
# --- Telecom / Telecom Equipment ------------------------------------------
Saudi Telecom Company (STC),شركة الاتصالات السعودية,telecom,https://www.stc.com.sa,https://www.linkedin.com/company/stc/,Telecom
Mobily,موبايلي,telecom,https://www.mobily.com.sa,https://www.linkedin.com/company/mobily/,Telecom
Zain KSA,زين السعودية,telecom,https://www.sa.zain.com,https://www.linkedin.com/company/zainksa/,Telecom
Salam,سلام,telecom,https://www.salam.sa,https://www.linkedin.com/company/salam-sa/,Telecom
Bayanat,بيانات,telecom,,https://www.linkedin.com/company/bayanat-sa/,Data centers
solutions by stc,حلول إس تي سي,telecom,https://www.solutions.com.sa,https://www.linkedin.com/company/sbs-tech/,STC subsidiary
Center3,سنتر3,telecom,https://www.center3.com,https://www.linkedin.com/company/center3/,STC data
Nokia Saudi Arabia,نوكيا السعودية,telecom,https://www.nokia.com,https://www.linkedin.com/company/nokia/,Telecom equip
Ericsson Saudi Arabia,إريكسون السعودية,telecom,https://www.ericsson.com,https://www.linkedin.com/company/ericsson/,Telecom equip
Huawei Saudi Arabia,هواوي السعودية,telecom,https://www.huawei.com/sa,https://www.linkedin.com/company/huawei/,Telecom equip
# --- Airlines / Transport / Logistics -------------------------------------
Saudia,الخطوط السعودية,airline,https://www.saudia.com,https://www.linkedin.com/company/saudia/,Airline
flynas,طيران ناس,airline,https://www.flynas.com,https://www.linkedin.com/company/flynas/,Airline
flyadeal,طيران أديل,airline,https://www.flyadeal.com,https://www.linkedin.com/company/flyadeal/,Airline
Riyadh Air,طيران الرياض,airline,https://www.riyadhair.com,https://www.linkedin.com/company/riyadh-air/,New PIF airline
Saudi Railway Company (SAR),الخطوط الحديدية السعودية,transport,https://www.sar.com.sa,https://www.linkedin.com/company/saudi-arabia-railways/,Rail
Saudi Ports Authority (Mawani),الموانئ السعودية موانئ,logistics,https://mawani.gov.sa,https://www.linkedin.com/company/mawani-sa/,Ports authority
Bahri,البحري,logistics,https://www.bahri.sa,https://www.linkedin.com/company/bahri/,Shipping
SAL Saudi Logistics Services,سال للخدمات اللوجستية,logistics,https://sal.com.sa,https://www.linkedin.com/company/sal-saudi-logistics-services/,Logistics
Saudi Post (SPL),البريد السعودي,logistics,https://splonline.com.sa,https://www.linkedin.com/company/spl-com-sa/,Postal
Aramex,أرامكس,logistics,https://www.aramex.com,https://www.linkedin.com/company/aramex/,Regional logistics
DHL Express Saudi Arabia,دي إتش إل السعودية,logistics,https://www.dhl.com/sa-en,https://www.linkedin.com/company/dhl-express/,Multinational logistics
FedEx Saudi Arabia,فيدكس السعودية,logistics,https://www.fedex.com/en-sa,https://www.linkedin.com/company/fedex/,Multinational logistics
Maersk Saudi Arabia,ميرسك السعودية,logistics,https://www.maersk.com,https://www.linkedin.com/company/maersk/,Shipping multinational
Almajdouie Group,المجدوعي,logistics,https://www.almajdouie.com,https://www.linkedin.com/company/almajdouie/,Logistics + auto distribution
Petromin Express,بترومين إكسبريس,transport,https://www.petromin.com,,Auto services
Careem KSA,كريم السعودية,transport,https://www.careem.com,https://www.linkedin.com/company/careem/,Ride-hailing
Uber KSA,أوبر السعودية,transport,https://www.uber.com,https://www.linkedin.com/company/uber-com/,Ride-hailing
# --- Mega-projects (PIF) --------------------------------------------------
NEOM,نيوم,real_estate,https://www.neom.com,https://www.linkedin.com/company/neom/,Megaproject
ROSHN,روشن,real_estate,https://www.roshn.sa,https://www.linkedin.com/company/roshnksa/,Real estate
Qiddiya,القدية,entertainment,https://www.qiddiya.com,https://www.linkedin.com/company/qiddiya-investment-company/,Megaproject
Diriyah Gate Development Authority,هيئة تطوير بوابة الدرعية,real_estate,https://www.diriyah.sa,https://www.linkedin.com/company/diriyahcompany/,Megaproject
Red Sea Global,البحر الأحمر العالمية,hospitality,https://www.redseaglobal.com,https://www.linkedin.com/company/redseaglobal/,Megaproject
AMAALA,أمالا,hospitality,https://www.amaala.com,https://www.linkedin.com/company/amaala/,Megaproject
King Abdullah Economic City (KAEC),مدينة الملك عبدالله الاقتصادية,real_estate,https://www.kaec.net,https://www.linkedin.com/company/kingabdullaheconomiccity/,Megaproject
Public Investment Fund (PIF),صندوق الاستثمارات العامة,investment,https://www.pif.gov.sa,https://www.linkedin.com/company/public-investment-fund/,Sovereign wealth fund
SOUDAH Development,تطوير السودة,hospitality,https://www.soudahdevelopment.com,https://www.linkedin.com/company/soudah-development/,PIF megaproject
NHC (National Housing Co),الإسكان الوطنية,real_estate,https://www.nhc.sa,https://www.linkedin.com/company/national-housing-co/,Housing
ROSHN — King Salman Park,حدائق الملك سلمان,real_estate,,https://www.linkedin.com/company/king-salman-park-foundation/,PIF megaproject
THIQAH Business Services,ثقة لخدمات الأعمال,tech_software,https://www.thiqah.sa,https://www.linkedin.com/company/thiqah/,Gov-tech
Elm,علم,tech_software,https://www.elm.sa,https://www.linkedin.com/company/elm-company/,Gov-tech
# --- Healthcare / Hospitals -----------------------------------------------
King Faisal Specialist Hospital and Research Centre,مستشفى الملك فيصل التخصصي,healthcare,https://www.kfshrc.edu.sa,https://www.linkedin.com/company/kfshrc/,KFSH&RC
Dr Sulaiman Al Habib Medical Group,مجموعة الدكتور سليمان الحبيب الطبية,healthcare,https://www.hmg.com,https://www.linkedin.com/company/drsulaiman-al-habib-medical-group/,Healthcare
Mouwasat Medical Services,المواساة للخدمات الطبية,healthcare,https://www.mouwasat.com,https://www.linkedin.com/company/mouwasat-medical-services/,Healthcare
